id_i,id_j,scie,sex,rep,age,grd,ses,dep,ctry
7618654,7600010,405.234,1,1,16,11,0.0317,0,BRA
7627437,7600010,292.542,1,0,15.083333333333334,11,-3.3454,0,BRA
7626126,7600010,211.144,0,0,15.166666666666666,12,-2.0257,0,BRA
7625066,7600010,306.694,0,0,15.5,12,-2.8044,0,BRA
7614216,7600010,324.364,0,0,15.333333333333334,12,-2.4408,0,BRA
7605402,7600010,329.055,0,1,15.083333333333334,11,-3.617,0,BRA
7607175,7600010,396.741,1,0,15.416666666666666,11,-0.6706,0,BRA
7600104,7600010,431.179,1,0,15.333333333333334,11,0.726,0,BRA
7614579,7600010,255.818,1,0,15.416666666666666,11,-1.5075,0,BRA
7616251,7600010,212.339,1,0,15.416666666666666,11,-0.2105,0,BRA
7618913,7600010,362.114,1,1,15.666666666666666,11,0.8629,0,BRA
7607205,7600010,180.85,1,1,15.75,8,-1.2265,0,BRA
7603089,7600010,224.862,1,1,16,9,-1.1707,0,BRA
7625503,7600010,417.658,0,1,15.5,10,-1.1393,0,BRA
7605736,7600010,331.297,0,NA,15.833333333333334,10,NA,0,BRA
7620854,7600010,338.678,0,0,15.25,10,-2.597,0,BRA
7616881,7600010,281.555,0,0,15.75,10,-3.5128,0,BRA
7624496,7600010,440.713,0,0,16,10,-2.2084,0,BRA
7625785,7600010,369.256,0,0,15.333333333333334,10,-2.2451,0,BRA
7609310,7600010,379.976,0,0,15.75,10,-2.7151,0,BRA
7618570,7600010,342.275,0,0,16,10,-2.1208,0,BRA
7601396,7600010,346.309,1,0,16,10,-1.4594,0,BRA
7613586,7600010,252.748,1,1,15.25,10,-0.7639,0,BRA
7628277,7600010,367.122,1,NA,15.583333333333334,10,NA,0,BRA
7620860,7600010,309.193,1,1,15.083333333333334,10,-2.7812,0,BRA
7611772,7600010,327.045,1,NA,15.916666666666666,10,NA,0,BRA
7607149,7600011,410.74,0,0,15.333333333333334,11,-1.9015,0,BRA
7625564,7600011,401.826,0,0,15.75,11,-2.8092,0,BRA
7610258,7600011,417.003,0,0,15.666666666666666,11,-1.762,0,BRA
7600401,7600011,402.42,1,0,15.583333333333334,11,-2.5907,0,BRA
7606225,7600011,323.31,1,0,15.416666666666666,11,-2.242,0,BRA
7628813,7600011,411.907,1,0,15.75,11,-0.3533,0,BRA
7618326,7600011,385.472,1,0,15.5,11,-1.4518,0,BRA
7619828,7600011,466.516,1,0,15.666666666666666,11,-1.0642,0,BRA
7610321,7600011,387.859,1,0,15.916666666666666,11,-3.5221,0,BRA
7619573,7600011,347.395,1,0,15.916666666666666,11,-1.0887,0,BRA
7625306,7600011,434.091,1,0,15.583333333333334,11,-1.5481,0,BRA
7607981,7600011,343.628,0,0,15.583333333333334,12,-1.6169,0,BRA
7607039,7600011,383.289,0,0,15.083333333333334,12,-1.2857,0,BRA
7604095,7600011,456.151,0,0,15.083333333333334,12,-0.3569,0,BRA
7602440,7600011,289.377,1,1,15.166666666666666,10,-3.0243,0,BRA
7629875,7600011,371.296,1,1,15.416666666666666,10,-1.8141,0,BRA
7627146,7600011,248.683,1,1,15.5,10,-0.6235,0,BRA
7627043,7600011,276.21,1,1,15.416666666666666,10,-1.3828,0,BRA
7609469,7600011,495.469,1,1,15.583333333333334,10,-0.6858,0,BRA
7613978,7600011,387.987,0,1,15.583333333333334,10,-2.6821,0,BRA
7620974,7600011,333.3,0,0,15.75,10,-3.0893,0,BRA
7607868,7600011,426.692,0,1,15.583333333333334,10,-1.9181,0,BRA
7611883,7600011,333.465,0,1,15.166666666666666,10,-0.2699,0,BRA
7630053,7600011,302.499,0,0,15.583333333333334,10,-0.0601,0,BRA
7609752,7600011,461.658,0,1,15.666666666666666,10,-1.018,0,BRA
7624210,7600011,435.278,1,1,15.5,10,-1.8293,0,BRA
7606883,7600011,366.58,1,1,15.75,10,-2.7601,0,BRA
7601626,7600011,339.117,0,0,15.75,11,-1.9736,0,BRA
7623510,7600011,489.148,0,0,15.166666666666666,11,-2.2586,0,BRA
7621493,7600011,415.869,0,0,16,11,0.5648,0,BRA
7600212,7600011,433.65,0,0,15.666666666666666,11,-1.1477,0,BRA
7608171,7600011,489.922,0,0,15.416666666666666,11,-0.6875,0,BRA
7629551,7600011,358.275,0,0,15.75,11,-2.3375,0,BRA
7618393,7600011,393.849,0,0,15.833333333333334,11,-1.4933,0,BRA
7629554,7600011,448.603,0,1,15.166666666666666,11,-1.7027,0,BRA
7605510,7600012,307.524,1,1,15.333333333333334,7,-0.9423,0,BRA
7612937,7600012,278.211,0,1,16,8,-0.4197,0,BRA
7620981,7600012,267.275,1,NA,15.75,8,NA,0,BRA
7618773,7600012,259.47,1,0,15.25,8,0.3043,0,BRA
7602680,7600012,329.035,1,1,15.25,8,-0.5518,0,BRA
7619943,7600012,308.557,0,1,15.666666666666666,10,-1.2188,0,BRA
7623550,7600012,292.782,1,1,15.333333333333334,10,-1.6014,0,BRA
7607091,7600012,355.348,0,0,15.416666666666666,11,-1.8273,0,BRA
7627672,7600012,350.033,0,0,15.333333333333334,11,-1.8929,0,BRA
7615362,7600012,539.433,0,NA,15.166666666666666,11,NA,0,BRA
7602720,7600012,353.566,1,0,15.25,11,-1.3947,0,BRA
7612146,7600012,326.247,1,0,15.333333333333334,11,-0.8498,0,BRA
7604822,7600012,350.235,1,1,15.583333333333334,9,-1.6711,0,BRA
7629620,7600012,253.608,1,1,15.916666666666666,9,-1.7437,0,BRA
7619012,7600012,237.469,1,1,15.083333333333334,8,-0.8293,0,BRA
7621402,7600012,277.273,1,1,15.666666666666666,8,-0.1437,0,BRA
7603242,7600012,335.577,0,1,15.083333333333334,9,-0.9066,0,BRA
7621535,7600012,312.257,0,1,15.666666666666666,9,-2.6943,0,BRA
7601695,7600012,241.694,0,1,15.583333333333334,9,-1.995,0,BRA
7609382,7600012,266.588,0,1,15.25,9,-2.6953,0,BRA
7602072,7600012,328.545,0,1,16,9,-3.1995,0,BRA
7606399,7600012,316.274,0,1,15.916666666666666,9,-0.6151,0,BRA
7616053,7600012,247.052,1,1,15.333333333333334,9,-1.6845,0,BRA
7606874,7600012,332.965,1,NA,15.416666666666666,9,NA,0,BRA
7601059,7600012,290.05,1,1,15.166666666666666,9,0.5561,0,BRA
7611361,7600012,429.777,1,1,15.333333333333334,9,-3.3449,0,BRA
7625170,7600012,211.471,0,1,15.416666666666666,10,-2.0366,0,BRA
7626540,7600012,292.171,1,0,16,9,-2.5568,0,BRA
7618587,7600012,209.23,1,1,15.833333333333334,9,-1.3931,0,BRA
7626425,7600012,306.031,0,1,15.25,10,-3.0314,0,BRA
7608879,7600013,258.395,1,1,15.666666666666666,7,-1.3638,0,BRA
7624348,7600013,322.615,1,1,15.583333333333334,7,-0.767,0,BRA
7605827,7600013,334.392,1,1,15.666666666666666,9,-2.2789,0,BRA
7603756,7600013,257.851,1,1,15.166666666666666,7,-2.4142,0,BRA
7626747,7600013,306.515,0,1,15.916666666666666,8,-1.181,0,BRA
7617466,7600013,313.556,1,1,15.5,9,-1.6804,0,BRA
7625619,7600013,178.411,1,1,15.5,7,-1.8548,0,BRA
7617393,7600013,323.539,1,1,16,9,-2.6514,0,BRA
7617555,7600014,440.342,0,1,15.083333333333334,10,-1.4505,NA,BRA
7625335,7600014,337.378,0,1,15.416666666666666,10,-1.9057,NA,BRA
7603237,7600014,405.359,0,0,15.583333333333334,10,-0.1103,NA,BRA
7621000,7600014,356.525,0,1,15.166666666666666,10,0.4181,NA,BRA
7610212,7600014,461.384,1,0,15.916666666666666,10,0.1806,NA,BRA
7602558,7600014,438.873,1,0,15.583333333333334,10,-1.2596,NA,BRA
7602735,7600014,468.519,0,0,16,10,1.2525,NA,BRA
7628722,7600014,434.689,0,0,15.416666666666666,11,-1.2201,NA,BRA
7610560,7600014,408.158,0,0,15.25,11,-0.7302,NA,BRA
7626187,7600014,335.013,0,0,15.25,11,0.1084,NA,BRA
7602687,7600014,413.977,0,0,15.083333333333334,11,-1.5428,NA,BRA
